company,country,img_url,name,price,ratings,rum_url,score,type,br_score
Flor de Cana,Nicaragua,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/405/Flor_de_Cana_Extra_Dry_4_rum.png,Flor de Cana Extra Dry 4,19.79,32,https://www.rumratings.com/brands/405-flor-de-cana-extra-dry-4,6.8,Light,6.307227898
Flor de Cana,Nicaragua,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/407/Flor_de_Can_Extra_Lite_4_rum.png,Flor de Cana Extra Lite 4,0,9,https://www.rumratings.com/brands/407-flor-de-cana-extra-lite-4,6.3,Light,5.516692844
Flor de Cana,Nicaragua,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/408/Flor_de_Ca_a_Gold_4_rum.png,Flor de Cana Gold 4,10.91,39,https://www.rumratings.com/brands/408-flor-de-cana-gold-4,6.1,Gold,5.830494087
Flor de Cana,Nicaragua,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/409/Flor_de_Cana_Gran_Reserve_7_rum.png,Flor de Cana Gran Reserve 7,15.37,131,https://www.rumratings.com/brands/409-flor-de-cana-gran-reserve-7,6.6,Aged,6.466240576
Flor de Cana,Nicaragua,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/410/Flor_de_Cana_Limon_rum_200px.png,Flor de Cana Limon,0,2,https://www.rumratings.com/brands/410-flor-de-cana-limon,4.5,Flavored,4.819553086
Florida,USA,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1095/Florida_Old_Reserve_Rum.png,Florida Old Reserve,0,6,https://www.rumratings.com/brands/1095-florida-old-reserve,7.2,Aged,5.695801933
Flying Dutchman,Netherlands,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1581/Flying_Dutchman_Light_rum.png,Flying Dutchman Light,24.33,3,https://www.rumratings.com/brands/1581-flying-dutchman-light,6,Light,5.11753564
Flying Dutchman,Netherlands,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1814/Flying_Dutchman_Premium_Dark_rum.png,Flying Dutchman Premium Dark,33.25,13,https://www.rumratings.com/brands/1814-flying-dutchman-premium-dark,6.5,Dark,5.755287411
Folly Cove ,USA,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1618/folly_cove__gold_rum_200px_b.png,Folly Cove  Gold,0,0,https://www.rumratings.com/brands/1618-folly-cove-gold,0,Gold,4.8775
Forres Park,Trinidad,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/411/Forres_Park_Puncheon_rum.png,Forres Park Puncheon,57.69,3,https://www.rumratings.com/brands/411-forres-park-puncheon,6,Light,5.11753564
Fortin,Paraguay,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/2088/Fortin_3-Year_rum_200px.png,Fortin 3-Year,0,1,https://www.rumratings.com/brands/2088-fortin-3-year,4,Gold,4.804552303
Fortin,Paraguay,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1182/Fortin_Black_Label_8-Year_rum.png,Fortin Black Label 8-Year,0,2,https://www.rumratings.com/brands/1182-fortin-black-label-8-year,6.5,Aged,5.126556604
Fortuna,Nicaragua,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,Fortuna Reserva Exclusiva Anejo 8,0,4,https://www.rumratings.com/brands/1040-fortuna-reserva-exclusiva-anejo-8,6.5,Aged,5.309327003
Foursquare,Barbados,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/412/Foursquare_1998_Vintage_rum.png,Foursquare 1998 Vintage,0,0,https://www.rumratings.com/brands/412-foursquare-1998-vintage,0,Aged,4.8775
Foursquare,Barbados,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,Foursquare 2004 11-Year Bourbon Cask Strength,0,20,https://www.rumratings.com/brands/3767-foursquare-2004-11-year-bourbon-cask-strength,8.6,Aged,7.276855445
Foursquare,Barbados,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,Foursquare 2006 Single Blended Rum,0,2,https://www.rumratings.com/brands/4203-foursquare-2006-single-blended-rum,9,Aged,5.510311001
Foursquare,Barbados,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/2233/Foursquare-_9-Year-Port-Cask-Finish_rum_200px.png,Foursquare 9-Year Port Cask Finish,0,53,https://www.rumratings.com/brands/2233-foursquare-9-year-port-cask-finish,8.2,Aged,7.62769197
Foursquare,Barbados,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,Foursquare Port Cask Finish,0,0,https://www.rumratings.com/brands/5009-foursquare-port-cask-finish,0,Aged,4.8775
Foursquare,Barbados,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/413/Foursquare_spiced_rum.png,Foursquare Spiced,32.33,32,https://www.rumratings.com/brands/413-foursquare-spiced,6.6,Spiced,6.158491575
Foursquare,Barbados,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,Foursquare Zinfandel Cask Blend 11-Year,0,26,https://www.rumratings.com/brands/3743-foursquare-zinfandel-cask-blend-11-year,8.9,Aged,7.701895184
Freres Lauzea,Martinique,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1140/Freres_Lauzea_Schrubb_rum.png,Freres Lauzea Schrubb,0,0,https://www.rumratings.com/brands/1140-freres-lauzea-schrubb,0,Aged,4.8775
Frigate,Australia,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/414/Frigate_OP_rum.png,Frigate OP,0,0,https://www.rumratings.com/brands/414-frigate-op,0,Dark,4.8775
Frigate,Australia,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/415/Frigate_Up_rum.png,Frigate UP,0,0,https://www.rumratings.com/brands/415-frigate-up,0,Gold,4.8775
Gall en gall,Netherlands,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,Gall en gall Superior White,0,1,https://www.rumratings.com/brands/4240-gall-en-gall-superior-white,3,n/a,4.721421025
Gauguin,French Polynesia,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/416/Gauguin_Brown_rum.png,Gauguin Brown,0,0,https://www.rumratings.com/brands/416-gauguin-brown,0,Gold,4.8775
Gauguin,French Polynesia,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/417/Gauguin_White_rum.png,Gauguin White,0,0,https://www.rumratings.com/brands/417-gauguin-white,0,Light,4.8775
