,names,release,runtime,scores,user_score
265,I'm Going Home,14-Aug-02,90,86,7.4
266,In the Bedroom,23-Nov-01,130,86,7.2
267,Chinatown,20-Jun-74,130,86,8.9
268,Barbara,21-Dec-12,105,86,7.3
269,Of Gods and Men,25-Feb-11,120,86,7.2
270,The Beaches of Agnès,1-Jul-09,110,86,7
271,Das Boot,10-Feb-82,149,86,6.2
272,Deliver Us from Evil,13-Oct-06,101,86,8.1
273,Back to the Future,3-Jul-85,116,86,9
274,Maidan,12-Dec-14,134,86,6.4
275,Drug War,26-Jul-13,107,86,7.2
276,The Great Beauty,15-Nov-13,142,86,8
277,Argo,12-Oct-12,120,86,7.7
278,Our Daily Bread,24-Nov-06,92,86,7.8
279,The Umbrellas of Cherbourg (re-released),13-Feb-04,91,86,7.8
280,Talk to Her,22-Nov-02,112,86,8.3
281,Under the Sand,4-May-01,92,86,7.9
282,Traffic,27-Dec-00,147,86,8.9
283,The Grifters,5-Dec-90,110,86,8.8
284,2001: A Space Odyssey,2-Apr-68,141,86,7.8
285,The Master,14-Sep-12,144,86,7.1
286,Los Angeles Plays Itself,28-Jul-04,169,86,7.4
287,This Is England,27-Jul-07,101,86,7.8
288,Springtime in a Small Town,14-May-04,116,86,7.5
289,Sweet Sixteen,16-May-03,106,86,8.6
290,The Son,10-Jan-03,0,86,7.8
291,The Player,3-Apr-92,124,86,8.4
292,Superman,15-Dec-78,143,86,7.8
293,Ponyo,14-Aug-09,101,86,7.6
294,The Interrupters,29-Jul-11,125,86,6.8
295,Ernest & Célestine,28-Feb-14,80,86,7.5
296,Diner,5-Mar-82,110,86,8.5
297,Only Angels Have Wings,12-May-39,121,86,0
298,Let the Fire Burn,2-Oct-13,88,86,7.3
299,American Beauty,15-Sep-99,122,86,8.9
300,Last Train Home,3-Sep-10,85,86,8.1
301,Andy Warhol: A Documentary Film,1-Sep-06,240,86,8.3
302,Beasts of the Southern Wild,27-Jun-12,93,86,7.5
303,The Double Life of Veronique,22-Nov-91,98,86,9
304,Flight of the Red Balloon,4-Apr-08,115,86,5.7
305,Before Night Falls,22-Dec-00,133,85,7.2
306,Graduation,TBA,128,85,0
307,Raw,10-Mar-17,99,85,0
308,The Bourne Ultimatum,3-Aug-07,115,85,7.5
309,The Pianist,27-Dec-02,150,85,7.7
310,Children Underground,19-Sep-01,104,85,8.7
311,You Can Count on Me,10-Nov-00,111,85,8.7
