,names,release,runtime,scores,user_score
4368,Red Heat,17-Jun-88,104,61,7.6
4369,The Kings of Summer,31-May-13,95,61,7.7
4370,Broken English,22-Jun-07,93,61,6.9
4371,Barrymore,14-Nov-12,83,61,0
4372,I'll Sing for You,4-Jun-04,76,61,0
4373,Matchstick Men,12-Sep-03,116,61,8.7
4374,Unknown Pleasures,26-Mar-03,112,61,7.5
4375,White Oleander,11-Oct-02,109,61,7.9
4376,The Green Mile,10-Dec-99,189,61,8.3
4377,Get Bruce,17-Sep-99,82,61,0
4378,Deconstructing Harry,12-Dec-97,96,61,7.5
4379,The Game,12-Sep-97,129,61,8.8
4380,The To Do List,26-Jul-13,104,61,5.6
4381,The Bubble,7-Sep-07,117,61,7.8
4382,Dust to Glory,1-Apr-05,97,61,8.4
4383,Generation Iron,20-Sep-13,106,61,7.8
4384,Trucker,9-Oct-09,90,61,7.5
4385,Bicycling With Molière,23-Apr-14,104,61,0
4386,Freeway,23-Aug-96,110,61,7.5
4387,Ladrón que roba a ladrón,31-Aug-07,98,61,8.5
4388,Iluzija,17-Mar-06,107,61,8
4389,Taking Sides,5-Sep-03,108,61,5.4
4390,Frida,25-Oct-02,123,61,7.5
4391,Quitting,13-Sep-02,112,61,7.7
4392,One,13-Oct-00,102,61,0
4393,Goya in Bordeaux,15-Sep-00,106,61,0
4394,Stuart Little,17-Dec-99,84,61,6.8
4395,Lucie Aubrac,17-Sep-99,115,61,0
4396,Red Knot,5-Dec-14,80,61,0
4397,The Hornet's Nest,23-May-14,93,61,0
4398,Boys on the Side,3-Feb-95,115,61,0
4399,In the Pit,2-Feb-07,84,61,0
4400,Fear X,28-Jan-05,0,61,8.8
4401,The Soloist,24-Apr-09,117,61,7
4402,Ladies in Lavender.,29-Apr-05,104,61,8.3
4403,Madagascar: Escape 2 Africa,7-Nov-08,89,61,6.8
4404,Documented,2-May-14,89,61,0
4405,Last Hijack,3-Oct-14,83,61,0
4406,Paradise: Faith,23-Aug-13,115,61,7.8
4407,Hideaway (Le refuge),10-Sep-10,88,61,0
4408,Ferris Bueller's Day Off,11-Jun-86,103,61,8.9
4409,The Weather Man,28-Oct-05,102,61,8.8
4410,Blackthorn,7-Oct-11,98,61,6.9
4411,A Very Harold & Kumar Christmas,4-Nov-11,90,61,7
4412,Sunlight Jr.,15-Nov-13,90,61,7
4413,Criminal,10-Sep-04,87,61,8.7
4414,Blue Gate Crossing,21-Nov-03,85,61,6.3
4415,The Backyard,29-Aug-03,80,61,0
4416,Bugs!,25-Jul-03,40,61,0
4417,Laurel Canyon,7-Mar-03,103,61,8.3
4418,Welcome to Collinwood,4-Oct-02,86,61,6.5
4419,Blue Crush,16-Aug-02,104,61,6.1
4420,Beijing Bicycle,25-Jan-02,113,61,7.9
4421,Rumble in the Bronx,23-Feb-96,87,61,8.8
4422,Capitalism: A Love Story,23-Sep-09,127,61,6.7
4423,Secretariat,8-Oct-10,123,61,6.4
4424,Day Night Day Night,9-May-07,94,61,5.7
4425,Wah-Wah,12-May-06,120,61,7.8
4426,Wall,26-Aug-05,96,61,0
4427,Fast & Furious 6,24-May-13,130,61,7
4428,This Must Be the Place,2-Nov-12,118,61,7.1
4429,Muppets Most Wanted,21-Mar-14,107,61,6.3
4430,Exposed,14-Mar-14,77,61,0
4431,Lilting,26-Sep-14,91,61,5.9
4432,13 Tzameti,28-Jul-06,93,61,7.6
4433,Extract,4-Sep-09,92,61,6
4434,Role Models,7-Nov-08,99,61,8.4
4435,Giuliani Time,12-May-06,130,61,8
4436,"Biandan, guniang",9-Mar-01,0,61,0
4437,The Kite Runner,14-Dec-07,128,61,7.9
4438,Haute Cuisine,20-Sep-13,95,61,0
4439,Red,8-Aug-08,93,61,6.9
4440,The Jane Austen Book Club,21-Sep-07,106,61,6.3
4441,17 Girls,21-Sep-12,86,61,0
4442,Evil,10-Mar-06,113,61,7.6
4443,Cowboy Bebop the Movie: Knockin' on Heaven's Door,4-Apr-03,116,61,8.1
4444,The Portrait of a Lady,24-Dec-96,144,61,7.5
4445,The Shining,23-May-80,0,61,8.8
4446,The Incredible Hulk,13-Jun-08,112,61,7.5
4447,For Ellen,5-Sep-12,94,61,0
4448,Mr. Jealousy,5-Jun-98,103,61,0
4449,Welcome,7-May-10,110,61,0
4450,Hair High,18-Oct-06,78,61,0
4451,Tell Me Something,12-Sep-01,118,61,0
4452,Fighting,24-Apr-09,105,61,8.7
4453,Adult World,14-Feb-14,97,61,7.1
4454,Metallica: Through the Never,27-Sep-13,93,61,8
4455,Arakimentari,21-Jan-05,85,61,8.7
4456,Enduring Love,29-Oct-04,100,61,8.8
4457,Waga jinsei saiaku no toki,25-Aug-00,92,61,0
4458,Est - Ouest,7-Apr-00,121,61,0
4459,My Dog Skip,12-Jan-00,95,61,8.3
4460,The Best Man,22-Oct-99,120,61,8
4461,Carnage,16-Dec-11,79,61,7.1
4462,These Final Hours,6-Mar-15,87,61,7.6
4463,Trance,5-Apr-13,101,61,8.8
4464,"Lust, Caution",28-Sep-07,157,61,6.5
4465,Oka!,14-Oct-11,106,61,0
4466,Transformers,3-Jul-07,144,61,6.9
4467,Dr. Bronner's Magic Soapbox,29-Jun-07,88,61,0
4468,Beyond the Sea,23-Mar-05,80,61,0
4469,Lower City,16-Jun-06,98,61,7.3
4470,Dead Snow,19-Jun-09,91,61,6.7
4471,At Any Price,26-Apr-13,105,61,6.2
4472,The War Within,30-Sep-05,90,61,7.7
4473,The Bourne Legacy,10-Aug-12,135,61,6.1
4474,Elysium,9-Aug-13,109,61,7.6
4475,Boynton Beach Club,4-Aug-06,105,61,0
4476,The Universe of Keith Haring,24-Oct-08,90,61,0
4477,American Blackout,22-Sep-06,92,61,0
4478,Sixteen Candles,4-May-84,93,61,7.3
4479,The Machinist,22-Oct-04,101,61,8.8
4480,Difret,23-Oct-15,99,61,0
4481,The Karate Kid,11-Jun-10,140,61,6.7
4482,The Taking of Tiger Mountain,2-Jan-15,141,61,7.3
4483,An Amazing Couple,6-Feb-04,97,61,0
4484,Analyze This,5-Mar-99,103,61,8.7
4485,Cube,11-Sep-98,90,61,7.3
4486,Emmanuel's Gift,21-Oct-05,80,61,7
4487,Butter on the Latch,14-Nov-14,72,60,0
4488,Murph: The Protector,22-Mar-13,0,60,0
4489,Morlang,23-Apr-04,0,60,0
4490,Otelo Burning,30-Nov-12,72,60,0
4491,Kevin Hart: What Now?,14-Oct-16,96,60,4.1
4492,Slack Bay,TBA,122,60,0
4493,This Boy's Life,9-Apr-93,115,60,3.4
4494,Nymphomaniac: Volume II,4-Apr-14,123,60,6.8
4495,Funny People,31-Jul-09,146,60,6.4
4496,Glastonbury,23-Feb-07,138,60,8.4
4497,The Light Between Oceans,2-Sep-16,133,60,7
4498,"The Good Son: The Life of Ray ""Boom Boom"" Mancini",9-Aug-13,90,60,0
4499,Videocracy,12-Feb-10,85,60,0
4500,"The Good Son: The Life of Ray ""Boom Boom"" Mancini",9-Aug-13,90,60,0
4501,Videocracy,12-Feb-10,85,60,0
4502,Good Neighbors,29-Jul-11,96,60,5.4
4503,Katakuri-ke no kôfuku,15-Aug-02,113,60,7.5
4504,The Emperor's New Clothes,14-Jun-02,107,60,7.3
4505,Ultimate X: The Movie,10-May-02,47,60,8.3
4506,Pandaemonium,29-Jun-01,124,60,0
4507,Allied,23-Nov-16,124,60,6.1
4508,Wish You Were Here,7-Jun-13,89,60,8.2
4509,The Girl Who Kicked the Hornet's Nest,29-Oct-10,147,60,7
4510,What We Become,13-May-16,85,60,0
4511,Ransom,8-Nov-96,121,60,1.3
4512,Following,2-Apr-99,69,60,8.8
4513,Resurrect Dead: The Mystery of the Toynbee Tiles,2-Sep-11,86,60,0
4514,Yang Ban Xi: The 8 Modelworks,29-Mar-06,90,60,0
4515,I Want Someone to Eat Cheese With,5-Sep-07,80,60,6.8
4516,SPECTRE,6-Nov-15,148,60,6.9
4517,The Wolverine,26-Jul-13,126,60,6.7
4518,Alice Neel,20-Apr-07,81,60,0
4519,Quality of Life,6-Apr-06,85,60,0
4520,Aristide and the Endless Revolution,17-Nov-05,82,60,8.1
4521,Lustre,17-Aug-05,81,60,0
4522,WMD: Weapons of Mass Deception,3-Dec-04,98,60,7.8
4523,Uncovered: The Whole Truth About the Iraq War,20-Aug-04,56,60,8
4524,Asphalt Zahov,13-Mar-02,0,60,0
4525,Luminous Motion,19-May-00,91,60,0
4526,The Devil's Advocate,17-Oct-97,144,60,8.8
4527,The Goonies,7-Jun-85,114,60,7.6
4528,Magic Mike XXL,1-Jul-15,115,60,5.6
4529,Ghostbusters,15-Jul-16,116,60,2.8
4530,Them,17-Aug-07,77,60,7.2
4531,Sheriff,9-Mar-05,76,60,0
4532,Quill: The Life of a Guide Dog,18-May-12,100,60,0
4533,Our Idiot Brother,26-Aug-11,90,60,6.4
4534,9,9-Sep-09,79,60,7.2
4535,Where Do We Go Now?,11-May-12,110,60,8
4536,Traitor,27-Aug-08,114,60,8.7
4537,A Perfect Day,15-Jan-16,106,60,6.9
4538,Overnight,10-Nov-04,82,60,8.1
4539,Eat This New York,30-Jan-04,80,60,0
4540,The Guys,13-Dec-02,84,60,0
4541,The Crime of Father Amaro,15-Nov-02,118,60,7.4
4542,The Cake Eaters,13-Mar-09,86,60,5.6
4543,Kill the Messenger,10-Oct-14,112,60,7.3
4544,Good Ol' Freda,6-Sep-13,86,60,0
4545,Jeff Who Lives at Home,16-Mar-12,83,60,6.7
4546,Breathe In,28-Mar-14,98,60,6.5
4547,Memoirs of My Nervous Illness,15-Dec-06,80,60,0
4548,The Do-Deca-Pentathlon,6-Jul-12,76,60,5.9
4549,Tin Cup,16-Aug-96,135,60,8.8
4550,Daybreak,2-Feb-05,108,60,0
4551,Tab Hunter Confidential,16-Oct-15,90,60,8.5
4552,American Casino,2-Sep-09,89,60,0
4553,Sweet Bean,18-Mar-16,113,60,7.8
4554,Juice,17-Jan-92,95,60,0
4555,Trumbo,6-Nov-15,124,60,7.5
4556,Reconstruction,10-Sep-04,90,60,7.8
4557,The Clearing,2-Jul-04,95,60,7.3
4558,Together,30-May-03,116,60,7.9
4559,"Massoud, the Afghan",4-Dec-02,89,60,0
4560,The Importance of Being Earnest,22-May-02,97,60,8.3
4561,Everybody's Famous!,6-Jul-01,97,60,0
4562,Signs & Wonders,9-Feb-01,105,60,6.3
4563,Oranges and Sunshine,21-Oct-11,106,60,7.2
4564,The Last Five Years,13-Feb-15,94,60,7.3
4565,Any Day Now,14-Dec-12,97,60,7.4
4566,Fightville,20-Apr-12,85,60,0
4567,Fugitive Pieces,2-May-08,0,60,8.5
4568,The Ghosts in Our Machine,8-Nov-13,93,60,0
4569,The Adjustment Bureau,4-Mar-11,99,60,7.1
4570,A Sidewalk Astronomer,6-Jul-05,79,60,0
4571,C.O.G.,20-Sep-13,88,60,7.5
4572,The White Countess,21-Dec-05,135,60,7.5
4573,American Teacher,30-Sep-11,81,60,0
4574,Men on the Bridge,20-Jun-12,87,60,0
4575,Blind Mountain,12-Mar-08,95,60,7.5
4576,Notorious,16-Jan-09,122,60,5.6
4577,Great Expectations,8-Nov-13,128,60,7.3
4578,With All Deliberate Speed,14-May-04,0,60,0
4579,Keeping the Faith,14-Apr-00,128,60,8.7
4580,McFarland USA,20-Feb-15,129,60,7.3
4581,Bride Flight,10-Jun-11,130,60,0
4582,Gloomy Sunday,7-Nov-03,112,60,8.3
4583,Mr. Nice,3-Jun-11,121,60,6.3
4584,Guys and Balls,28-Apr-06,106,60,0
4585,In Paris,8-Aug-07,92,60,6.8
4586,The Concert,30-Jul-10,119,60,7.3
4587,Body of War,9-Apr-08,0,60,8.5
4588,The Heat,28-Jun-13,117,60,6.4
4589,Red Doors,8-Sep-06,90,60,7.4
4590,Machete,3-Sep-10,105,60,7.2
4591,In Her Shoes,7-Oct-05,130,60,6.9
4592,Lan yu,26-Jul-02,86,60,0
4593,Under solen,3-Aug-01,130,60,8.4
4594,The Visit,15-Dec-00,107,60,0
4595,Illuminata,6-Aug-99,119,60,7.6
4596,The Governess,31-Jul-98,115,60,0
4597,The Godfather: Part III,25-Dec-90,162,60,7.9
4598,Tomorrowland,22-May-15,130,60,6.4
4599,What Would Jesus Buy?,16-Nov-07,0,60,6.5
4600,Days of Thunder,27-Jun-90,107,60,5.1
4601,Tumbledown,5-Feb-16,105,60,6.4
4602,Love Is All You Need,3-May-13,116,60,7.7
4603,Staying Vertical,27-Jan-17,98,60,0
4604,L'iceberg,4-May-07,84,60,0
4605,On My Way,14-Mar-14,116,60,0
4606,Darling,1-Apr-16,78,60,5.8
4607,Scanners,14-Jan-81,103,60,8.8
4608,Protocols of Zion,21-Oct-05,95,60,6.6
4609,At Middleton,31-Jan-14,99,60,6.1
4610,The Last Sentence,20-Jun-14,126,60,0
4611,White Wedding,3-Sep-10,93,60,0
4612,Mandela: Long Walk to Freedom,29-Nov-13,141,60,5.8
4613,Fred Won't Move Out,21-Sep-12,74,60,0
4614,Brothers at War,13-Mar-09,110,60,0
4615,Stealing Beauty,14-Jun-96,118,60,7.6
4616,RED,15-Oct-10,111,60,7
4617,Citadel,9-Nov-12,84,60,6.8
4618,Goosebumps,16-Oct-15,103,60,6.7
4619,The Other F Word,2-Nov-11,98,60,7.1
4620,RA. One,26-Oct-11,156,60,6
4621,"Happy, Happy",16-Sep-11,85,60,6.5
4622,Max Manus,3-Sep-10,118,60,7.8
4623,Behind the Burly Q,23-Apr-10,97,60,0
4624,Cellular,10-Sep-04,94,60,8
4625,Spartan,12-Mar-04,106,60,7
4626,Interview with the Assassin,15-Nov-02,88,60,0
4627,Gangster No. 1,14-Jun-02,103,60,8.7
4628,Otomo,7-Nov-01,85,60,0
4629,The Debut,5-Oct-01,88,60,8.4
4630,Happy Accidents,24-Aug-01,110,60,8.5
4631,Never Been Kissed,9-Apr-99,107,60,8.8
4632,Brassed Off,23-May-97,107,60,8.8
4633,The X Files,19-Jun-98,121,60,8.3
4634,Rolling Papers,19-Feb-16,79,60,0
4635,Kumaré,22-Jun-12,84,60,7.3
4636,They Came Together,27-Jun-14,83,60,6.2
4637,The Music Never Stopped,18-Mar-11,106,60,7.4
4638,Bill & Ted's Bogus Journey,18-Jul-91,93,60,8.6
4639,Michael Collins,11-Oct-96,133,60,7.5
4640,Red Dragon,4-Oct-02,124,60,8.6
4641,The Beaver,6-May-11,91,60,6.5
4642,Calendar Girls,19-Dec-03,108,60,7.6
4643,Manic,25-Apr-03,100,60,8.8
4644,Time and Tide,4-May-01,113,60,8.6
4645,Gray's Anatomy,19-Mar-97,80,60,0
4646,Mystic Pizza,14-Oct-88,104,60,8.6
4647,Romeo + Juliet,1-Nov-96,120,60,6.3
4648,Soul Boys of the Western World,29-Apr-15,110,60,0
4649,Norman,21-Oct-11,97,60,0
4650,The Iceman,3-May-13,105,60,8.6
4651,Len and Company,10-Jun-16,102,60,0
4652,Trust,1-Apr-11,104,60,7.3
4653,The Commune,TBA,111,60,0
4654,The Experiment,18-Sep-02,0,60,7.5
4655,Cliffhanger,28-May-93,112,60,8.8
4656,Happy Here and Now,14-Dec-05,89,60,0
4657,The Sisterhood of Night,10-Apr-15,104,60,8.2
4658,What About Bob?,17-May-91,99,60,8.5
4659,Madagascar 3: Europe's Most Wanted,8-Jun-12,93,60,6.7
4660,My Blind Brother,23-Sep-16,85,60,0
4661,Electrick Children,8-Mar-13,96,60,7.4
4662,Dogville,26-Mar-04,178,60,8.1
4663,Go for Zucker,20-Jan-06,95,60,6.5
4664,Eisenstein in Guanajuato,5-Feb-16,105,60,7.8
4665,A/k/a Tommy Chong,14-Jun-06,80,60,8
4666,Lone Survivor,27-Dec-13,121,60,7.5
4667,Treasure Planet,5-Nov-02,95,60,8.1
4668,Ice Age,15-Mar-02,81,60,8
4669,Bandits,12-Oct-01,123,60,8.2
4670,Rush Hour,18-Sep-98,98,60,8.8
4671,Middle Men,6-Aug-10,105,60,8.7
4672,Bad Moms,29-Jul-16,100,60,5.1
4673,Life of Crime,29-Aug-14,98,60,6.8
4674,Thin Ice,17-Feb-12,93,60,7
4675,Lonely Hearts,13-Apr-07,108,60,7.9
4676,Anthropoid,12-Aug-16,120,59,7.4
4677,Hateship Loveship,11-Apr-14,104,59,7.1
4678,This Changes Everything,2-Oct-15,89,59,0
4679,Celeste and Jesse Forever,3-Aug-12,92,59,7.4
4680,Captive,10-Nov-06,115,59,7
4681,Space Jam,15-Nov-96,88,59,0
4682,Under the Same Moon (La misma luna),19-Mar-08,106,59,8.2
4683,Hippocrates: Diary of a French Doctor,19-Jun-15,102,59,0
4684,Standing Tall,1-Apr-16,120,59,0
4685,Heli,13-Jun-14,105,59,7.3
4686,She's Lost Control,20-Mar-15,90,59,0
4687,Gunnin' for That #1 Spot,27-Jun-08,90,59,0
4688,Ping Pong,6-Apr-07,114,59,7.9
4689,The Rundown,26-Sep-03,104,59,8.8
4690,Only the Strong Survive,9-May-03,95,59,0
4691,Big Eden,1-Jun-01,118,59,8.5
4692,The Perfect Storm,30-Jun-00,130,59,5.7
4693,Fantasia/2000,1-Jan-00,74,59,7.5
4694,The Wedding Singer,13-Feb-98,95,59,8.8
4695,Life,4-Dec-15,111,59,5.6
4696,Beowulf,16-Nov-07,115,59,6.3
4697,The Humbling,23-Jan-15,112,59,5.7
4698,The Last Mimzy,23-Mar-07,90,59,5.4
4699,Breakfast on Pluto,16-Nov-05,128,59,7.8
4700,Yosemite,1-Jan-16,80,59,0
4701,Spider-Man 3,4-May-07,139,59,6.7
4702,Mission: Impossible II,24-May-00,123,59,8.1
4703,Drew: The Man Behind the Poster,16-Aug-13,0,59,0
4704,Disco and Atomic War,12-Nov-10,80,59,0
4705,Road to Nowhere,10-Jun-11,121,59,8.3
4706,Unconscious,29-Dec-06,100,59,0
4707,Mojados: Through the Night,18-May-05,65,59,0
4708,Unbroken,25-Dec-14,137,59,6.5
4709,Into the Forest,29-Jul-16,101,59,5.8
4710,Seducing Doctor Lewis,18-Jun-04,108,59,8.2
4711,24 Days,24-Apr-15,108,59,0
4712,Torn,18-Oct-13,80,59,0
4713,Make Believe,13-May-11,88,59,0
4714,A Home at the End of the World,23-Jul-04,97,59,7.8
4715,Jin Roh: The Wolf Brigade,22-Jun-01,102,59,7.8
4716,Boesman and Lena,3-Nov-00,90,59,0
4717,Waking the Dead,24-Mar-00,105,59,8.7
4718,L'ennui,15-Oct-99,122,59,0
4719,The Best Man Holiday,15-Nov-13,123,59,6
4720,Copying Beethoven,10-Nov-06,104,59,7.2
4721,Restless City,27-Apr-12,80,59,0
4722,Inside Hana's Suitcase,18-Apr-12,88,59,0
4723,Shakespeare High,9-Mar-12,81,59,3
4724,Outside the Law,3-Nov-10,138,59,7.8
4725,Femme Fatale,6-Nov-02,114,59,6.2
4726,Advantageous,26-Jun-15,90,59,8.2
4727,I Smile Back,23-Oct-15,85,59,6.5
4728,Rules Don't Apply,23-Nov-16,126,59,7
4729,Tower Heist,4-Nov-11,104,59,6.9
4730,Sarah's Key,22-Jul-11,111,59,6.3
4731,Don't Move,11-Mar-05,125,59,6.6
4732,Mifune: The Last Samurai,25-Nov-16,80,59,0
4733,Champs,13-Mar-15,0,59,8.7
4734,Magic Magic,26-Jul-13,97,59,6.6
4735,My Afternoons with Margueritte,16-Sep-11,82,59,4.6
4736,Sleep Dealer,17-Apr-09,90,59,6.9
4737,Winter Solstice,8-Apr-05,90,59,7.7
4738,Happenstance,2-Nov-01,90,59,7.8
4739,Anywhere But Here,12-Nov-99,114,59,7
4740,Cloudy with a Chance of Meatballs 2,27-Sep-13,95,59,7
4741,Rory O'Shea Was Here,4-Feb-05,104,59,8.6
4742,The Hobbit: The Battle of the Five Armies,17-Dec-14,144,59,6.9
4743,Go for Sisters,8-Nov-13,123,59,0
4744,The Ballad of Jack and Rose,25-Mar-05,112,59,6.6
4745,Cape of Good Hope,11-Nov-05,107,59,8.3
4746,Fade to Black,5-Nov-04,109,59,8
4747,The Princess Blade,8-Aug-03,93,59,6.6
4748,The Man Who Bought Mustique,9-May-01,78,59,0
4749,The Day Silence Died,8-Dec-00,108,59,0
4750,The Contender,13-Oct-00,126,59,7.1
4751,The Lost World: Jurassic Park,23-May-97,129,59,7.1
4752,Love! Valour! Compassion!,16-May-97,108,59,0
4753,Mighty Aphrodite,3-Nov-95,95,59,8.6
4754,The Bostonians,2-Aug-84,122,59,0
4755,J. Edgar,9-Nov-11,137,59,6.5
4756,Mr. Peabody & Sherman,7-Mar-14,92,59,6.6
4757,The Cartel,16-Apr-10,90,59,0
4758,Seeking a Friend for the End of the World,22-Jun-12,101,59,7.3
4759,Alien 3,22-May-92,114,59,6.3
4760,The Railway Man,11-Apr-14,116,59,7.2
4761,Extraordinary Tales,23-Oct-15,73,59,5.3
4762,Henri Cartier-Bresson: The Impassioned Eye,13-Jan-06,72,59,0
4763,Deja Vu,22-Nov-06,126,59,5.5
4764,Change of Plans (Le code a changé),27-Aug-10,100,59,0
4765,The Playroom,8-Feb-13,0,59,0
4766,Cocaine Cowboys,27-Oct-06,118,59,7.5
4767,Heartbreaker,10-Sep-10,105,59,6.5
4768,Interview with the Vampire: The Vampire Chronicles,11-Nov-94,123,59,8.8
4769,Milius,TBA,103,59,0
4770,Run All Night,13-Mar-15,114,59,8.2
4771,Matthew Barney: No Restraint,20-Dec-06,72,59,6.4
4772,We Own the Night,12-Oct-07,117,59,6.2
4773,I Have Never Forgotten You: The Life & Legacy of Simon Wiesenthal,8-Dec-06,105,59,5.4
4774,The Front Line,20-Jan-12,133,59,4.5
4775,Intact,13-Dec-02,108,59,7.2
4776,Signs,2-Aug-02,106,59,7.2
4777,Langrishe Go Down,17-Jul-02,105,59,0
4778,Lakeboat,13-Apr-01,98,59,7.3
4779,Nico and Dani,2-Feb-01,91,59,8.1
4780,Austin Powers: The Spy Who Shagged Me,11-Jun-99,95,59,8.7
4781,Warm Bodies,1-Feb-13,98,59,6.9
4782,Dead Snow 2: Red vs. Dead,10-Oct-14,100,59,7.6
4783,Dangerous Liaisons (2012),9-Nov-12,110,59,0
4784,Bridget Jones's Baby,16-Sep-16,123,59,7.2
4785,A Very British Gangster,18-Jul-08,97,59,0
4786,Elvis & Nixon,22-Apr-16,86,59,6.8
4787,Legally Blonde,13-Jul-01,96,59,7.1
4788,The Final Girls,9-Oct-15,88,59,7.9
4789,Moonlight Mile,27-Sep-02,117,59,7
4790,Absolutely Fabulous: The Movie,22-Jul-16,91,59,4.4
4791,The Dead Lands,17-Apr-15,107,59,6
4792,Pearl Jam Twenty,20-Sep-11,109,59,8.5
4793,Salvo,22-Aug-14,110,59,0
4794,Savages,6-Jul-12,131,59,6.5
4795,Roll Bounce,23-Sep-05,112,59,5.9
4796,For a Woman,2-May-14,110,59,0
4797,Abigail Harm,30-Aug-13,80,59,0
4798,The Lie,18-Nov-11,80,59,0
4799,Molière,27-Jul-07,120,59,8.3
4800,Mission: Impossible,22-May-96,110,59,8.2
4801,Independence Day,3-Jul-96,145,59,6.9
4802,Bonjour Monsieur Shlomi,2-Jul-04,94,59,7
4803,Confidence,25-Apr-03,97,59,8.7
4804,American Pimp,9-Jun-00,87,59,8.4
4805,Life Is Beautiful,23-Oct-98,116,59,7.6
4806,Sliding Doors,24-Apr-98,99,59,8.1
4807,Romy and Michele's High School Reunion,25-Apr-97,92,59,8.6
4808,The Boys & Girl from County Clare,11-Mar-05,90,59,8.5
4809,Dawn of the Dead,19-Mar-04,101,59,8.6
4810,Surviving Progress,20-Apr-12,86,59,0
4811,Ip Man,1-Oct-10,106,59,8.3
4812,Two in the Wave,21-May-10,91,59,0
4813,Youssou Ndour: I Bring What I Love,12-Jun-09,102,59,7.3
4814,Noriko's Dinner Table,13-Jun-07,159,59,7.6
4815,Hava Nagila: The Movie,1-Mar-13,75,59,0
4816,Moonlight,9-Dec-05,91,59,0
4817,Limitless,18-Mar-11,105,59,7.4
4818,Running from Crazy,1-Nov-13,100,59,0
4819,Jurassic World,12-Jun-15,124,59,6.8
4820,Barney Thomson,11-Mar-16,96,59,6.4
4821,On the Ice,17-Feb-12,96,59,0
4822,Rubber,1-Apr-11,85,59,6
4823,Day Watch,1-Jun-07,132,59,6.9
4824,We Are Wizards,14-Nov-08,79,59,0
4825,Valley of Love,25-Mar-16,91,59,0
4826,"I, Robot",16-Jul-04,115,59,7.9
4827,Barbershop 2: Back in Business,6-Feb-04,106,59,5.5
4828,Madame Satã,9-Jul-03,105,59,0
4829,The Shape of Things,9-May-03,96,59,8.8
4830,Naqoyqatsi,18-Oct-02,89,59,7.2
4831,The Children of the Century,13-Sep-02,135,59,0
4832,Anastasia,21-Nov-97,94,59,8.2
4833,Wall Street: Money Never Sleeps,24-Sep-10,133,59,5.9
4834,Detroit Unleaded,15-Nov-13,93,59,0
4835,Heights,17-Jun-05,93,59,4.8
4836,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,1-Feb-08,74,59,5
4837,Miss You Already,6-Nov-15,112,59,7.6
4838,The Whistleblower,5-Aug-11,112,59,7.3
4839,More Than a Game,2-Oct-09,105,59,8.1
4840,Dredd,21-Sep-12,95,59,8.8
4841,99%: The Occupy Wall Street Collaborative Film,6-Sep-13,0,59,0
4842,The Outrageous Sophie Tucker,24-Jul-15,96,59,0
4843,Learning to Drive,21-Aug-15,90,59,6.5
4844,If You Build It,10-Jan-14,85,59,0
4845,Paranormal Activity 3,21-Oct-11,83,59,6
4846,"My Son, My Son, What Have Ye Done",11-Dec-09,91,59,5.9
4847,"Definitely, Maybe",14-Feb-08,112,59,7.3
4848,Scent of a Woman,23-Dec-92,157,59,8.9
4849,The Shallows,24-Jun-16,86,59,6.5
4850,Bang Rajan,6-Aug-04,71,59,0
4851,Les amants criminels,21-Jul-00,96,59,0
4852,The Adventures of Elmo in Grouchland,1-Oct-99,73,59,7.2
4853,Magic Trip,5-Aug-11,90,59,0
4854,Little Lili,12-Nov-04,104,59,0
4855,Handsome Harry,16-Apr-10,94,59,0
4856,What If,8-Aug-14,98,59,7.2
4857,Dreamer: Inspired by a True Story,21-Oct-05,106,59,6.6
4858,Beautiful Losers,8-Aug-08,90,59,6.8
4859,Music and Lyrics,14-Feb-07,96,59,8.2
4860,Unfriended,17-Apr-15,83,59,5.6
4861,American Swing,27-Mar-09,81,59,0
4862,Sharkwater,2-Nov-07,89,59,7.6
4863,This Is 40,21-Dec-12,134,59,5.8
4864,Nanny McPhee,27-Jan-06,97,59,6.2
4865,Wimbledon,17-Sep-04,98,59,8.2
4866,Onegin,17-Dec-99,106,59,8.6
4867,The Ant Bully,28-Jul-06,88,59,5.5
4868,The First Saturday in May,18-Apr-08,96,58,0
4869,Salmon Fishing in the Yemen,9-Mar-12,111,58,6.5
4870,The Look,4-Nov-11,90,58,0
4871,Deepsea Challenge 3D,8-Aug-14,90,58,6
4872,Viva,2-May-08,120,58,0
4873,Follow Me: The Yoni Netanyahu Story,18-May-12,0,58,0
4874,Night Watch: Nochnoi Dozor,17-Feb-06,114,58,6.4
4875,OSS 117 - Lost in Rio,7-May-10,101,58,7.5
4876,Complete Unknown,26-Aug-16,91,58,7.8
4877,Where Soldiers Come From,9-Sep-11,91,58,0
4878,Maudie,TBA,115,58,0
4879,Jimmy Carter Man from Plains,26-Oct-07,125,58,6.5
4880,The Voices,6-Feb-15,103,58,7.1
4881,Free Men,16-Mar-12,99,58,8.5
4882,My Sister Maria,11-Jun-04,90,58,0
4883,NASCAR: The IMAX Experience,12-Mar-04,40,58,7.3
4884,Pipe Dream,4-Oct-02,91,58,0
4885,The Triumph of Love,17-Apr-02,112,58,4.8
4886,God Help the Girl,5-Sep-14,111,58,6.9
4887,Amira & Sam,30-Jan-15,90,58,7.9
4888,Norwegian Wood,6-Jan-12,133,58,7.2
4889,Baskin,25-Mar-16,97,58,6
